,Rango,ciudad,areas,cuartos,baño,area de parqueo,monto de renta,seguro,Total
129,129,1,50,1,1,0,1080,17,1156
130,130,1,185,3,3,3,5600,71,9248
131,131,1,440,4,4,4,12000,181,14680
132,132,0,119,3,2,2,1200,16,3078
133,133,1,57,2,2,2,1690,22,2233
134,134,1,65,2,1,1,1400,18,1602
135,135,1,35,2,1,1,2100,32,2257
136,136,0,51,1,2,1,2100,27,2980
137,137,0,70,2,3,1,2004,26,3226
138,138,1,90,2,1,1,1500,23,1523
139,139,1,320,3,4,3,6800,87,10290
140,140,1,250,7,5,2,12750,192,13990
141,141,1,70,2,1,1,3800,49,4554
142,142,1,169,4,6,3,10000,127,13420
143,143,1,33,1,1,0,1100,14,1515
144,144,1,225,4,4,3,5000,64,9131
145,145,1,42,1,1,0,3256,42,3298
146,146,1,120,3,4,1,4000,61,4065
147,147,1,70,3,2,2,1500,20,2418
148,148,1,90,1,1,2,3200,49,3386
149,149,1,260,4,5,4,3300,42,6356
150,150,1,243,3,3,4,5500,70,10200
151,151,1,100,1,1,0,1530,12,1542
152,152,1,240,3,4,3,5100,65,9478
153,153,0,45,1,1,1,870,12,1628
154,154,1,65,1,1,1,5000,64,5758
155,155,1,47,1,1,0,1000,13,1189
156,156,1,60,2,1,0,3300,42,3996
157,157,1,340,4,6,6,15000,226,15480
158,158,1,500,4,4,0,6000,91,6558
159,159,1,55,2,1,1,1399,18,1837
160,160,1,240,3,4,3,4950,63,9613
161,161,1,65,2,2,1,2315,7,2972
162,162,1,68,1,1,0,1213,6,1219
163,163,1,500,4,4,3,10800,163,11950
164,164,1,198,2,2,2,5500,70,7590
165,165,1,62,2,1,1,2200,28,2830
166,166,1,60,2,2,1,2806,36,3499
167,167,1,187,3,2,3,8400,127,10810
168,168,1,25,1,1,0,2200,28,2705
169,169,1,230,3,4,3,3600,55,4064
170,170,1,17,1,1,0,2400,31,2781
171,171,1,67,2,2,1,2200,28,3138
172,172,1,20,1,1,0,2060,27,2087
173,173,1,118,3,2,2,8500,108,10920
174,174,1,43,1,1,1,2430,31,3483
175,175,1,195,2,3,1,6000,77,7911
176,176,1,141,3,4,3,7500,96,9977
177,177,1,45,1,1,1,2300,30,2880
178,178,1,48,1,1,1,1525,6,2119
179,179,1,280,3,4,2,6000,77,11140
180,180,1,170,3,2,2,5000,64,7686
181,181,1,90,3,2,1,3260,50,3310
182,182,0,35,1,1,1,1100,14,1519
183,183,1,16,1,1,0,2300,30,2820
184,184,0,68,1,1,1,1000,13,1661
185,185,1,80,3,5,2,12000,153,16610
186,186,1,190,3,2,1,8000,102,11700
187,187,1,150,3,4,2,3400,52,3452
188,188,1,112,3,3,2,2670,34,3992
189,189,1,145,3,4,3,6000,77,8027
190,190,0,47,1,1,1,1100,14,1720
191,191,1,128,3,2,1,4529,58,5923
192,192,1,250,3,4,4,4500,68,4902
193,193,1,120,3,1,0,1460,21,1731
194,194,1,110,2,2,2,2700,41,3041
195,195,1,400,2,5,4,6000,91,6575
196,196,1,35,1,1,1,2600,33,4000
197,197,1,107,2,2,2,12800,163,15180
198,198,1,97,2,2,0,5600,71,6871
199,199,1,70,2,1,0,1050,14,1530
200,200,1,20,1,1,0,3142,40,3399
201,201,1,130,3,2,2,3500,45,4854
202,202,1,120,3,2,3,2000,26,3718
203,203,1,110,3,3,2,3800,49,5041
204,204,1,300,3,5,3,11900,179,12330
205,205,1,349,4,5,4,11000,140,14240
206,206,1,97,3,2,2,3000,39,4072
207,207,1,84,4,1,3,6000,77,8795
208,208,1,180,2,2,1,2800,43,2948
209,209,1,286,4,4,5,10000,151,11150
210,210,1,500,5,7,5,14000,178,21760
211,211,1,110,3,3,3,2350,30,4245
212,212,1,196,4,4,0,6000,77,9985
213,213,1,33,1,1,1,4150,53,4850
214,214,1,400,4,4,3,9000,136,9678
215,215,1,170,2,1,0,2481,26,2507
216,216,1,90,1,1,0,2200,34,2343
217,217,1,184,3,4,3,1400,18,4810
218,218,1,117,2,2,1,7130,91,8001
219,219,1,11,1,1,0,1181,15,1196
220,220,0,57,1,1,1,800,11,1482
221,221,1,16,1,1,0,850,11,891
222,222,1,180,4,3,1,5000,64,6876
223,223,1,250,3,4,2,6000,77,9894
224,224,1,220,3,4,2,7000,106,7540
225,225,1,360,3,5,4,3135,40,7040
226,226,1,122,3,4,3,4500,58,4558
227,227,1,138,3,4,3,7000,89,8569
228,228,1,110,3,1,1,1400,18,2653
229,229,1,220,4,3,3,3400,44,5044
230,230,1,118,3,2,1,4775,61,6137
231,231,1,180,2,2,1,5350,68,7218
232,232,1,52,2,1,1,1300,17,1920
233,233,1,30,1,1,0,1550,20,1591
234,234,1,160,3,3,2,1500,20,3589
235,235,0,209,3,3,2,2550,39,3419
236,236,1,450,5,5,6,9500,143,10990
237,237,1,117,3,3,3,2300,30,5310
238,238,1,900,4,6,8,15000,226,19640
239,239,1,200,3,3,0,4500,68,4639
240,240,1,128,3,3,2,3800,49,7054
241,241,1,140,3,2,2,3700,47,5394
242,242,1,180,3,3,4,7000,89,9948
243,243,1,280,4,4,5,3200,41,7116
244,244,1,420,4,6,4,15000,191,20940
245,245,1,48,1,1,1,2700,35,3612
246,246,1,148,3,2,2,9000,115,12210
247,247,1,75,2,1,1,2000,26,2774
248,248,1,44,1,1,0,3016,12,3445
249,249,1,35,1,1,0,1100,14,1144
250,250,1,320,4,2,2,8000,121,8763
251,251,0,98,3,2,1,1233,16,2060
252,252,0,51,1,1,0,1300,17,2069
253,253,1,322,4,5,5,15000,191,19770
254,254,1,187,4,5,3,5300,68,10700
255,255,1,62,3,2,1,4800,61,6578
256,256,1,130,2,2,1,4300,55,5555
257,257,0,600,4,6,3,5500,83,7525
258,258,1,520,3,4,2,9000,136,10640
259,259,1,86,1,2,1,6500,83,8758
260,260,1,72,2,2,1,5431,69,6934
261,261,1,550,4,4,4,14000,211,15550
262,262,1,50,1,1,0,1220,19,1239
263,263,1,298,5,3,3,8000,121,9505
264,264,0,74,3,2,1,1800,23,2643
265,265,1,41,1,1,0,2470,32,2952
266,266,0,80,3,2,2,1450,19,2329
267,267,1,130,3,2,1,4500,58,5858
268,268,1,64,1,2,2,2100,27,2910
269,269,1,50,1,1,1,2730,35,3944
270,270,1,200,3,2,4,3500,53,3553
271,271,1,70,1,1,2,7000,89,9781
272,272,0,41,1,1,1,1950,14,2419
273,273,1,89,2,2,0,1900,25,2925
274,274,1,250,4,2,8,13040,197,13740
275,275,1,105,2,1,0,1800,28,1953
276,276,1,150,2,2,1,2100,32,2133
277,277,1,50,2,1,1,1950,25,2425
278,278,1,180,3,2,1,5400,82,5941
279,279,1,50,1,1,0,1000,16,1016
280,280,0,70,1,1,2,1450,22,1477
281,281,1,177,2,2,2,6000,91,6433
282,282,1,177,4,5,4,9200,117,11780
283,283,1,18,1,1,0,1710,22,1732
284,284,1,200,3,4,2,2900,44,4044
285,285,1,45,1,1,1,5520,70,8590
286,286,0,70,2,1,1,750,10,1023
287,287,1,66,3,2,1,2179,28,2928
288,288,1,48,2,1,0,1150,15,1345
289,289,1,515,5,4,3,15000,191,21040
290,290,1,55,2,2,1,2000,26,2676
291,291,1,350,4,5,2,5000,76,5401
292,292,1,260,3,3,3,5000,64,8116
293,293,1,78,2,1,1,2000,26,2706
294,294,1,35,1,1,0,1780,23,2223
295,295,1,106,2,1,2,2100,32,2242
296,296,1,500,3,3,5,15000,226,16350
297,297,1,38,1,1,0,1650,25,1675
298,298,1,153,2,2,1,11900,151,13900
299,299,1,64,2,2,2,1600,21,2656
300,300,1,260,3,4,4,4500,68,4568
301,301,0,50,1,1,1,500,7,2112
302,302,1,170,3,2,1,4500,58,6343
303,303,1,120,2,2,2,4880,62,6249
304,304,1,700,4,5,2,8000,102,11500
305,305,1,270,5,7,2,3978,60,4127
306,306,1,40,1,1,0,3463,32,4385
307,307,1,640,4,4,4,10200,130,17310
308,308,1,40,1,1,0,980,15,1054
309,309,1,40,2,1,0,1100,14,1462
310,310,1,42,1,1,1,2000,26,2564
311,311,1,62,1,1,0,2100,27,2677
312,312,1,106,2,3,2,5000,64,6264
313,313,1,103,3,2,1,4400,56,5526
314,314,1,360,3,5,3,8500,108,14410
315,315,1,113,1,1,2,6400,82,7132
316,316,1,164,4,4,3,6000,77,8467
317,317,1,110,3,2,3,2800,43,2858
318,318,1,110,2,2,1,4348,56,5885
319,319,1,136,4,3,1,4200,54,6366
320,320,0,65,1,1,1,1200,16,1679
321,321,1,62,2,1,1,1345,18,2133
322,322,0,163,3,5,3,9800,125,11730
323,323,1,47,2,1,1,1570,20,2187
324,324,1,50,1,1,1,3500,45,4553
325,325,1,79,3,2,2,3000,39,4148
326,326,1,250,3,3,2,5380,69,7083
327,327,1,50,2,1,1,1210,16,1606
328,328,1,150,3,3,2,5000,76,5311
329,329,0,76,2,1,0,700,9,1109
330,330,1,72,2,2,1,1800,23,2502
331,331,1,35,1,1,1,4000,51,5531
332,332,1,250,3,4,4,10700,136,15480
333,333,0,85,3,1,1,1110,15,1786
334,334,0,60,1,1,1,1100,14,1746
335,335,0,47,2,1,1,1290,17,1595
336,336,1,104,3,3,2,9000,115,10280
337,337,0,203,3,1,2,3300,50,3467
338,338,1,136,3,2,1,3500,45,5318
339,339,1,53,1,1,1,4500,58,5452
340,340,1,400,4,3,2,15000,226,17100
341,341,1,40,1,1,1,4200,54,4809
342,342,1,38,1,1,0,1680,22,1702
343,343,1,340,4,6,4,2800,36,7603
344,344,0,134,3,3,2,2500,32,3709
345,345,1,97,2,2,0,3000,39,3492
346,346,1,90,1,1,0,1150,18,1227
347,347,1,260,4,5,2,8000,102,11120
348,348,1,66,2,1,0,1650,21,2027
349,349,1,92,2,1,1,2930,38,6166
350,350,1,92,3,3,1,4250,54,5075
351,351,1,155,3,4,2,13100,166,15080
352,352,1,30,1,1,0,900,12,912
353,353,1,27,1,1,0,3500,45,4951
354,354,1,175,4,3,2,3200,49,3629
355,355,1,326,3,4,4,6500,83,11000
356,356,1,236,4,5,4,10000,127,15460
357,357,0,119,3,1,1,1200,16,2242
358,358,1,23,1,1,0,2050,26,2499
359,359,1,260,2,4,4,8000,102,10770
360,360,1,400,3,3,2,12000,181,12180
361,361,1,87,1,1,2,7900,101,9021
362,362,1,65,2,1,1,1800,28,1828
363,363,1,210,3,4,4,15000,191,18190
364,364,1,250,3,4,2,4200,64,4456
365,365,1,155,3,2,3,11700,149,15120
366,366,0,300,4,3,5,4100,62,4182
367,367,0,70,3,2,2,1800,23,2401
368,368,1,68,1,2,1,4500,58,5858
369,369,0,220,3,5,3,7900,101,10420
370,370,0,91,3,2,2,2250,29,3154
371,371,0,230,4,4,8,5100,77,5497
372,372,0,48,2,1,0,950,13,1296
373,373,1,90,2,2,2,10000,127,11530
374,374,1,60,1,1,1,5500,70,6770
375,375,1,450,4,4,3,15000,191,20690
376,376,1,16,1,1,0,850,11,896
377,377,1,100,3,2,1,1400,18,2809
378,378,1,300,3,3,3,3400,52,3870
379,379,1,151,3,4,3,6800,87,9062
380,380,1,150,3,4,3,7608,97,10530
381,381,1,57,2,1,1,1500,20,2157
382,382,1,30,1,1,1,1200,16,3147
383,383,0,53,1,1,1,3110,40,4585
384,384,1,270,3,4,3,6800,103,7320
385,385,1,78,2,2,2,5800,74,7608
386,386,1,20,1,1,0,3142,40,3399
387,387,1,140,5,2,1,3999,51,4250
388,388,1,155,3,3,2,12000,153,15150
389,389,1,118,3,2,4,2250,29,3463
390,390,0,235,4,4,3,5500,70,9561
391,391,1,400,4,4,4,9000,115,14940
392,392,1,80,2,2,1,3500,45,4677
393,393,1,50,1,1,0,3100,12,3907
394,394,0,55,2,2,1,2500,32,2955
395,395,1,400,4,4,4,8500,128,9878
396,396,1,63,3,2,0,1800,23,2373
397,397,1,325,4,3,2,8500,108,14220
398,398,1,200,3,3,2,6000,77,8702
399,399,1,58,2,2,1,5000,64,6046
400,400,1,180,3,2,3,4600,70,8270
401,401,1,159,3,2,0,4507,19,6744
402,402,1,420,4,3,4,15000,226,16480
403,403,1,88,3,1,2,1500,20,2240
404,404,0,70,3,1,1,1135,5,1689
405,405,1,246,4,5,4,10000,127,13080
406,406,1,53,2,1,1,1250,16,1816
407,407,1,22,1,1,1,2200,28,2728
408,408,1,80,1,1,0,1700,26,1786
409,409,1,30,1,1,1,2570,8,3078
410,410,0,157,3,5,3,7000,89,9831
411,411,1,450,3,3,8,5015,76,5491
412,412,1,90,3,2,0,2572,8,2928
413,413,1,88,2,1,0,1800,23,2623
414,414,0,46,1,1,0,1950,25,3275
415,415,1,189,4,2,2,8000,102,10630
416,416,1,49,2,1,1,1250,16,1661
417,417,1,180,3,2,2,7000,89,10790
418,418,1,128,3,3,2,7000,89,8679
419,419,1,60,2,2,0,1300,10,1998
420,420,1,74,3,2,1,1710,22,2762
421,421,1,80,1,1,1,2500,32,4512
422,422,1,150,3,2,1,2500,38,2538
423,423,1,70,3,2,1,1900,25,2906
424,424,1,113,3,2,2,4800,61,6411
425,425,0,50,1,1,0,880,14,894
426,426,1,300,4,2,2,6500,83,10670
427,427,1,140,2,3,1,5000,64,6620
428,428,1,300,4,5,1,8550,109,12760
429,429,1,350,5,4,8,9000,136,9898
430,430,1,78,2,1,1,1700,26,1808
431,431,0,110,2,2,0,4200,54,5432
432,432,1,423,4,5,7,14000,178,22610
433,433,1,110,1,1,0,3182,14,4119
434,434,1,136,2,4,2,4800,61,6643
435,435,1,56,2,1,1,1700,22,2885
436,436,1,20,1,1,0,2800,36,3306
437,437,1,115,3,2,2,2900,37,5237
438,438,1,140,2,2,1,12500,159,14940
439,439,1,64,2,1,1,1400,18,1929
440,440,1,60,2,1,1,2500,32,3564
441,441,1,132,3,2,1,2800,36,4358
442,442,1,210,4,3,3,4000,51,6051
443,443,1,300,4,4,3,5080,77,5441
444,444,1,130,3,2,2,3300,50,3458
445,445,1,108,2,4,2,4430,57,6298
446,446,1,75,2,2,1,3005,10,4144
447,447,1,250,3,3,3,4500,68,4718
448,448,0,55,1,1,0,500,7,997
449,449,1,129,3,2,3,2950,38,4698
450,450,1,158,4,4,3,6600,84,9159
451,451,1,100,3,3,2,3248,42,4874
452,452,1,130,3,2,3,7450,112,7729
453,453,1,25,1,1,0,1200,19,1264
454,454,1,240,3,2,3,9265,140,9930
455,455,1,196,3,4,2,3300,42,6101
456,456,1,39,1,1,1,3300,42,3959
457,457,0,46,2,1,1,970,13,1275
458,458,1,120,3,2,0,2500,38,2622
459,459,1,270,2,2,3,8650,110,10960
460,460,1,700,4,10,0,15000,226,23980
461,461,0,462,4,7,4,5000,76,5666
462,462,1,35,1,1,1,3150,23,3648
463,463,1,90,3,3,2,3500,45,4442
464,464,1,98,3,2,2,1760,23,3566
465,465,1,159,2,2,1,4200,54,5741
466,466,1,115,3,5,2,7000,89,9414
467,467,1,400,3,3,1,11000,140,14280
468,468,0,60,2,1,1,1317,17,1857
469,469,1,220,3,4,3,8000,102,12400
470,470,1,67,2,1,1,2099,27,3876
471,471,1,165,3,4,3,4500,58,6831
472,472,1,100,2,4,0,3000,39,3039
473,473,1,55,1,2,1,2576,10,4133
474,474,0,35,1,1,1,600,8,954
475,475,1,51,1,1,1,3700,47,4377
476,476,1,73,2,2,1,1250,16,2116
477,477,1,320,5,5,4,5500,70,12870
478,478,1,35,1,1,1,2300,30,2810
479,479,1,46,1,1,0,1600,21,1721
480,480,0,350,4,3,4,6000,91,7091
481,481,1,340,4,4,3,14000,178,15010
482,482,1,28,1,1,1,1899,5,3692
483,483,1,125,3,2,2,3000,46,3196
484,484,1,44,1,1,1,3450,13,4023
485,485,1,95,2,1,1,3000,39,4006
486,486,1,310,3,4,3,4500,58,7858
487,487,1,48,2,1,0,1350,18,1468
488,488,1,30,4,4,2,5000,76,9323
489,489,0,46,1,1,1,580,8,1181
490,490,1,141,3,2,2,7400,94,9144
491,491,1,58,1,1,1,1600,21,2320
492,492,1,48,2,1,0,1350,18,1468
493,493,1,560,5,5,6,15000,226,17140
494,494,1,98,3,2,1,5500,70,7120
495,495,1,340,3,4,4,12500,159,22740
496,496,1,224,4,4,3,9350,119,13290
497,497,0,50,1,1,1,800,11,1523
498,498,1,250,3,4,3,7000,89,10960
499,499,1,100,2,2,1,4000,51,5341
500,500,1,600,3,3,4,6800,103,7869
501,501,0,114,3,2,1,1400,18,2561
502,502,0,67,2,1,1,1230,16,1788
503,503,1,160,4,3,2,10330,131,13550
504,504,1,130,2,2,1,5600,71,6739
505,505,1,114,1,1,1,2800,36,4031
506,506,1,52,2,1,1,1450,19,1469
507,507,1,31,1,1,0,2300,30,2760
508,508,1,78,2,1,1,2500,32,2942
509,509,1,60,2,2,1,5700,73,6885
510,510,1,40,1,1,0,2390,31,2999
511,511,1,145,4,4,3,4500,58,6805
512,512,1,127,2,3,2,6900,88,9398
513,513,1,330,4,5,4,10000,127,14120
514,514,0,180,4,3,1,1800,23,3575
515,515,1,120,4,3,2,3500,45,5004
516,516,1,40,1,1,1,2200,28,4551
517,517,1,160,4,4,2,2400,37,2437
518,518,0,130,3,2,2,2800,36,4170
519,519,1,80,2,1,1,2950,38,4440
520,520,1,112,3,4,3,2800,36,4729
521,521,1,30,1,1,1,1500,20,2406
522,522,1,184,4,3,3,4500,58,6508
523,523,1,56,2,1,1,2500,32,3062
524,524,1,40,1,1,1,3000,39,4587
525,525,1,65,2,2,1,1800,23,2478
526,526,1,146,3,2,2,3500,45,5545
527,527,0,60,2,1,1,1299,17,1600
528,528,1,170,3,2,2,9000,115,11990
529,529,1,240,4,4,4,2890,37,7358
530,530,1,200,4,2,2,6500,98,7098
531,531,1,69,2,1,1,1550,20,2110
532,532,1,224,3,4,2,6000,77,10060
533,533,1,109,3,2,2,4500,58,6175
534,534,1,50,2,1,2,2300,30,3063
535,535,0,59,2,1,1,1290,17,1784
536,536,1,162,2,3,3,15000,191,18350
537,537,0,93,3,2,1,1100,14,1854
538,538,1,580,6,6,6,6960,105,9149
539,539,1,216,3,4,2,5500,70,9840
540,540,1,90,2,1,0,3850,49,5229
541,541,1,200,3,3,2,7225,92,12160
542,542,0,55,1,1,0,750,10,1287
543,543,1,40,1,1,1,2300,30,2991
544,544,1,87,3,3,2,3500,45,4728
545,545,1,60,2,1,0,1600,25,1650
546,546,1,70,3,2,1,1825,24,2469
547,547,1,243,2,3,2,4619,70,5248
548,548,1,78,1,1,2,6000,77,8374
549,549,1,103,2,1,0,1300,20,1400
550,550,1,72,3,2,1,1750,23,2566
551,551,1,95,1,2,2,8000,102,10530
552,552,1,135,3,2,2,4200,54,6633
553,553,1,310,5,4,5,3200,41,10110
554,554,1,68,2,2,1,2565,33,3157
555,555,1,360,4,5,4,6593,84,12860
556,556,1,420,4,4,4,15000,191,24530
557,557,1,266,3,5,1,4320,55,6841
558,558,1,172,3,4,3,7800,99,10440
559,559,1,240,3,5,4,7500,113,8072
560,560,0,108,1,3,2,4500,58,5538
561,561,1,50,1,1,0,1800,23,2324
562,562,1,180,3,3,2,4400,56,8746
563,563,0,380,4,6,3,4000,61,4516
564,564,1,125,3,4,0,2500,32,4578
565,565,1,50,2,2,1,1395,6,1986
566,566,1,382,3,4,2,14000,178,20120
567,567,1,51,1,1,0,1700,22,2173
568,568,1,128,2,2,0,2700,35,3693
569,569,0,51,1,1,0,820,11,1332
570,570,0,45,1,1,0,500,7,887
571,571,1,300,4,5,4,14000,211,15380
572,572,1,180,3,1,0,2500,38,2872
573,573,1,120,3,2,1,2000,26,3506
574,574,1,87,3,2,0,2000,26,3541
575,575,1,116,2,2,2,8000,102,9567
576,576,1,200,4,2,1,5000,64,7507
577,577,1,556,6,7,4,7500,113,8697
578,578,0,62,2,2,2,3000,39,3853
579,579,1,63,2,2,1,11000,140,12270
580,580,1,96,3,1,1,3550,45,4907
581,581,1,61,2,2,1,2000,26,3041
582,582,1,266,4,5,4,10900,139,15110
583,583,0,48,1,1,0,1500,20,2052
584,584,1,33,2,1,0,2850,37,3237
585,585,1,150,2,2,3,8000,102,12760
586,586,1,175,3,2,2,3900,59,4223
587,587,1,108,3,4,0,3500,45,4649
588,588,1,100,4,5,4,3250,42,8509
589,589,1,81,1,1,1,1150,16,1833
590,590,1,29,1,1,0,1043,14,1314
591,591,1,60,2,2,1,1700,22,2544
592,592,1,70,2,1,1,1700,22,2397
593,593,1,130,2,2,0,3974,51,5439
594,594,1,83,3,2,2,2600,33,3381
595,595,1,320,3,4,2,5500,83,5833
596,596,0,87,3,2,1,640,9,1519
597,597,1,240,2,3,1,6500,83,8913
598,598,1,108,3,3,2,2800,43,3052
599,599,1,160,3,2,1,7700,98,9983
600,600,1,178,3,4,4,10000,127,12900
601,601,1,116,3,2,3,8000,102,9906
602,602,1,82,2,2,1,2341,9,3000
603,603,1,72,2,1,1,1300,17,2279
604,604,1,160,3,2,2,3900,50,5371
605,605,1,230,3,4,3,8000,102,12470
606,606,1,60,2,2,1,2640,34,3331
607,607,1,50,1,1,0,3698,47,4142
608,608,1,79,2,2,1,2800,36,3518
609,609,0,94,3,1,1,2000,26,2651
610,610,1,200,3,3,6,6000,91,6591
611,611,1,60,2,2,1,3400,44,4294
612,612,1,98,3,2,2,2000,26,3809
613,613,0,75,2,1,1,1200,16,2007
614,614,1,190,3,3,2,13500,172,16190
615,615,1,20,1,1,0,3142,40,3399
616,616,0,46,1,1,0,500,7,971
617,617,1,22,1,1,0,1074,17,1091
618,618,1,49,1,1,0,2600,33,3467
619,619,0,105,3,2,2,1620,21,3006
620,620,1,140,3,4,2,2450,32,4357
621,621,1,127,2,2,2,5500,70,7481
622,622,1,200,4,7,4,8000,121,8696
623,623,1,100,3,2,2,1800,23,2523
624,624,1,200,2,2,2,3000,46,3214
625,625,1,300,4,6,6,15000,191,24890
626,626,1,25,1,1,0,1200,19,1264
627,627,1,160,3,2,2,2900,37,4852
628,628,1,145,3,1,2,7200,109,7637
629,629,0,62,1,1,1,1250,16,2004
630,630,0,50,1,1,1,991,13,1472
631,631,0,74,3,1,1,900,12,1426
632,632,1,190,3,3,2,6800,103,7295
633,633,0,326,3,3,4,4200,64,5657
